stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id
"20338","Rochester Station","-36.36229401","144.69850500","https://transport.vic.gov.au/stop/1550/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:ROR","1","Level 0"
"20339","Rosedale Station","-38.15640367","146.78696637","https://transport.vic.gov.au/stop/1551/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:ROE","1","Level 0"
"20341","Sale Station","-38.10310272","147.05480513","https://transport.vic.gov.au/stop/1553/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:SAE","1","Level 0"
"20342","Seymour Station","-37.02439853","145.13851230","https://transport.vic.gov.au/stop/1554/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:SER","1","Level 0"
"20343","Shepparton Station","-36.38381106","145.40597310","https://transport.vic.gov.au/stop/1555/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:SNH","1","Level 0"
"20344","South Geelong Station","-38.15865863","144.35898705","https://transport.vic.gov.au/stop/1556/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:SOG","1","Level 0"
"20346","Stratford Station","-37.96704739","147.08146945","https://transport.vic.gov.au/stop/1558/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:STD","1","Level 0"
"20347","Swan Hill Station","-35.34111357","143.56234321","https://transport.vic.gov.au/stop/1559/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:SWL","1","Level 0"
"20348","Tallarook Station","-37.09233130","145.10279485","https://transport.vic.gov.au/stop/1560/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:TOK","1","Level 0"
"20349","Terang Station","-38.23621199","142.91147221","https://transport.vic.gov.au/stop/1561/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click","","vic:rail:TER","1","Level 0"
